Invalid camera search request input , 2651 , 400 ,Camera search upload failed , 2652 , 500 ,
Anket api error,2661,500
Virtual try on no metadata found,2671,404
Virtual try on no root pin id found,2672,404
Virtual try on invalid type,2673,400
Place save not found,2681,404
Place rec not found,2682,404
Place recommender not found,2683,404
Place recommender name not found,2684,404
Place category not found,2685,404
Partner country sanctioned,2691,403
Feedback post slack message error,2692,500
Feedback type unsupported,2693,400
Local content area not found,2694,404
Marketing offer claim error,2695,500
Sos elastic search error,2696,400
Sos elastic search service error,2697,500
Marketing offer get details error,2698,500
Use case not found,2699,404
Sos search error,2700,400
Instagram invalid auth feed,2701,401
Instagram fetch feed failed,2702,400
Instagram feed already exists,2703,409
Instagram feed not found,2704,404
Lead scoring error,2711,500
Sfdc login error,2721,500
Sfdc lead invalid parameter,2722,500
Verified merchant already exists,2723,409
Verified merchant not found,2724,404
Verified merchant create failed,2725,500
Verified merchant country cannot create,2726,401
Brand survey not found,2727,404
Brand survey create failed , 2728 , 500 ,Brand survey update failed , 2729 , 500 ,
Business hub card status update failed,2731,500
Board note not found,2741,404
Board note component not found,2742,404
Business relationship already exists,2751,400
Business relationship not found,2752,404
Today article not found,2753,404
